,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
151912,Untitled no. 6,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2018,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 3/8 × 30 3/16"" (56.8 × 76.7 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.6,Drawing,Drawings & Prints,2024-06-06,Y,467160,https://www.moma.org/collection/works/467160,,,,,,56.8,,,76.7,,
155187,Crack Box,Henry Taylor,41333,"(American, born 1958)",(American),(1958),(0),(male),2004,Acrylic and pencil on cardboard Bisquick box,"11 × 7 5/8 × 3 3/4"" (27.9 × 19.4 × 9.5 cm)",Gift of the Tilton Family Collection,240.2024,Sculpture,Drawings & Prints,2024-06-06,Y,472975,https://www.moma.org/collection/works/472975,https://www.moma.org/media/W1siZiIsIjU4MDExNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3a95e652a9ec716a,,,9.52501905,,27.9400558801,,,19.4,,
155146,Waiting Indian from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed 1970; published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.1,Print,Drawings & Prints,2024-06-06,Y,471540,https://www.moma.org/collection/works/471540,https://www.moma.org/media/W1siZiIsIjU4MDk2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bccab6161e6b0ce7,,,,,76.2001524003,,,55.8801117602,,
155176,Untitled,Valentine Hugo,2758,"(French, 1890–1968)",(French),(1890),(1968),(female),1936,Etching with pasted detail,"plate: 4 1/8 × 3 1/8"" (10.5 × 7.9 cm); sheet (irreg.): 9 7/8 × 6 3/8"" (25.1 × 16.2 cm)",Lawrence Saphire Bequest,226.2024,Print,Drawings & Prints,2024-06-06,Y,472644,https://www.moma.org/collection/works/472644,,,,,,10.5,,,7.9,,
155173,Untitled (Mental Map: my private housing project),Franz Ackermann,22669,"(German, born 1963)",(German),(1963),(0),(male),1994,"Watercolor, bandages, pencil, and hair on paper","5 × 7 1/2"" (12.7 × 19.1 cm)",Gift from the Collection of Patricia and Morris Orden,218.2024,Drawing,Drawings & Prints,2024-06-06,Y,472627,https://www.moma.org/collection/works/472627,,,,0.0,,12.7000254001,,,19.0500381001,,
155172,Untitled (Mental Map: what happens in house #7),Franz Ackermann,22669,"(German, born 1963)",(German),(1963),(0),(male),1994,Watercolor and pencil on paper,"5 × 7 1/4"" (12.7 × 18.4 cm)",Gift from the Collection of Patricia and Morris Orden,219.2024,Drawing,Drawings & Prints,2024-06-06,Y,472626,https://www.moma.org/collection/works/472626,https://www.moma.org/media/W1siZiIsIjU4MDExMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=97b699c720147d2f,,,0.0,,12.7000254001,,,18.4150368301,,
151918,Untitled no. 12,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2023,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 38 3/16 × 50"" (97 × 127 cm)",Acquired through the generosity of Erin and Peter Hess Friedland,230.2024.12,Drawing,Drawings & Prints,2024-06-06,Y,467166,https://www.moma.org/collection/works/467166,,,,,,97.0,,,127.0002540005,,
155153,Indian at the Circus from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed 1970; published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.8,Print,Drawings & Prints,2024-06-06,Y,471548,https://www.moma.org/collection/works/471548,https://www.moma.org/media/W1siZiIsIjU4MDk3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=26d8ea11e30371fa,,,,,76.2001524003,,,55.8801117602,,
155151,Buffalo Dancer from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed and published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.6,Print,Drawings & Prints,2024-06-06,Y,471546,https://www.moma.org/collection/works/471546,https://www.moma.org/media/W1siZiIsIjU4MDk2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5cbf031712f982f8,,,,,76.2001524003,,,55.8801117602,,
155150,Indians with Umbrellas from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed and published 1971,One from a portfolio of eight lithographs,"sheet: 22 × 30"" (55.9 × 76.2 cm)",John B. Turner Fund,237.2024.5,Print,Drawings & Prints,2024-06-06,Y,471545,https://www.moma.org/collection/works/471545,https://www.moma.org/media/W1siZiIsIjU4MDk2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=deb103058d5363a4,,,,,55.8801117602,,,76.2001524003,,
155149,Pueblo Dancers from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed and published 1971,One from a portfolio of eight lithographs,"sheet: 22 × 30"" (55.9 × 76.2 cm)",John B. Turner Fund,237.2024.4,Print,Drawings & Prints,2024-06-06,Y,471544,https://www.moma.org/collection/works/471544,https://www.moma.org/media/W1siZiIsIjU4MDk2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=38ca875bcd98b813,,,,,55.8801117602,,,76.2001524003,,
155148,Indian with Pigeon from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed 1970; published 1971,One from a portfolio of eight lithographs,"sheet: 22 × 30"" (55.9 × 76.2 cm)",John B. Turner Fund,237.2024.3,Print,Drawings & Prints,2024-06-06,Y,471543,https://www.moma.org/collection/works/471543,https://www.moma.org/media/W1siZiIsIjU4MDk2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7ec05ba85f8224a1,,,,,55.8801117602,,,76.2001524003,,
155147,Indian at the Bar from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed and published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.2,Print,Drawings & Prints,2024-06-06,Y,471542,https://www.moma.org/collection/works/471542,https://www.moma.org/media/W1siZiIsIjU4MDk2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=02eff548b9304180,,,,,76.2001524003,,,55.8801117602,,
151913,Untitled no. 7,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2019,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 5/16 × 30 3/16"" (56.7 × 76.7 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.7,Drawing,Drawings & Prints,2024-06-06,Y,467161,https://www.moma.org/collection/works/467161,,,,,,56.7,,,76.7,,
146155,Untitled,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2016 - 2024,"Set of thirteen drawings from an ongoing series in acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper","nine sheets: 22 1/4 × 30 1/8"" (56.5 × 76.5 cm)
four sheets: 38 3/8 × 50"" (97.5 × 127 cm)",,230.2024.1-13,Drawing,Drawings & Prints,2024-06-06,N,456955,,,,,,,56.5,,,76.5,,
148021,Untitled,Wols (A. O. Wolfgang Schulze),6432,"(German, 1913–1951)",(German),(1913),(1951),(male),1940-41,Ink and watercolor on colored paper,"12 × 9 3/4"" (30.5 × 24.8 cm)",Acquired through the generosity of Marlene Hess and James D. Zirin,245.2024,Drawing,Drawings & Prints,2024-06-06,Y,460788,https://www.moma.org/collection/works/460788,https://www.moma.org/media/W1siZiIsIjU4MDEwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=61fa72468d80d277,,,0.0,,30.5,,,24.8,,
148022,Untitled (composition),Wols (A. O. Wolfgang Schulze),6432,"(German, 1913–1951)",(German),(1913),(1951),(male),1943,"Ink, watercolor, and gouache on paper","12 11/16 × 9 1/2"" (32.3 × 24.2 cm)",Acquired through the generosity of Joshua and Filipa Fink,246.2024,Drawing,Drawings & Prints,2024-06-06,Y,460789,https://www.moma.org/collection/works/460789,https://www.moma.org/media/W1siZiIsIjU4MDEwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e94871422790c123,,,0.0,,32.3,,,24.2,,
148023,Untitled,Wols (A. O. Wolfgang Schulze),6432,"(German, 1913–1951)",(German),(1913),(1951),(male),1948-49,"Ink, watercolor, casein, and oil paint, on colored paper","9 15/16 × 7 3/8"" (25.3 × 18.8 cm)",Acquired through the generosity of Joshua and Filipa Fink,247.2024,Drawing,Drawings & Prints,2024-06-06,Y,460791,https://www.moma.org/collection/works/460791,https://www.moma.org/media/W1siZiIsIjU4MDEwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1ee140e2612680c5,,,0.0,,25.3,,,18.8,,
151909,Untitled no. 1,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2016,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 1/4 × 30 1/8"" (56.5 × 76.5 cm)",Acquired through the generosity of The Judith Rothschild Contemporary Drawings Collection Gift (by exchange) and Linda Goldstein,230.2024.1,Drawing,Drawings & Prints,2024-06-06,Y,467157,https://www.moma.org/collection/works/467157,,,,,,56.5,,,76.5,,
151910,Untitled no. 2,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2016-17,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 3/8 × 30 3/16"" (56.8 × 76.7 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.2,Drawing,Drawings & Prints,2024-06-06,Y,467158,https://www.moma.org/collection/works/467158,,,,,,56.8,,,76.7,,
151911,Untitled no. 3,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2017,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 5/16 × 30 3/16"" (56.7 × 76.7 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.3,Drawing,Drawings & Prints,2024-06-06,Y,467159,https://www.moma.org/collection/works/467159,,,,,,56.7,,,76.7,,
151920,Untitled no. 11,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2022,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 38 3/8 × 50"" (97.5 × 127 cm)",Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art's 75th Anniversary Acquisition Fund,230.2024.11,Drawing,Drawings & Prints,2024-06-06,Y,467168,https://www.moma.org/collection/works/467168,,,,,,97.5,,,127.0002540005,,
151919,Untitled no. 10,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2021,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 38 3/8 × 50"" (97.5 × 127 cm)",Acquired through the generosity of Erin and Peter Hess Friedland,230.2024.10,Drawing,Drawings & Prints,2024-06-06,Y,467167,https://www.moma.org/collection/works/467167,,,,,,97.5,,,127.0002540005,,
148020,Janus portant l’aquarium –La Fête de Janus –Janus-Bifrons,Wols (A. O. Wolfgang Schulze),6432,"(German, 1913–1951)",(German),(1913),(1951),(male),1940-41,Ink on colored paper,"10 3/4 × 7 1/16"" (27.3 × 18 cm)",Acquired through the generosity of Joshua and Filipa Fink,244.2024,Drawing,Drawings & Prints,2024-06-06,Y,460787,https://www.moma.org/collection/works/460787,https://www.moma.org/media/W1siZiIsIjU4MDEwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=25afbb16d684fe66,,,0.0,,27.3,,,18.0,,
151916,Untitled no. 8,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2020,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 5/16 × 30 1/8"" (56.7 × 76.5 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.8,Drawing,Drawings & Prints,2024-06-06,Y,467164,https://www.moma.org/collection/works/467164,,,,,,56.7,,,76.5,,
151917,Untitled no. 5,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2018,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 1/4 × 30 1/8"" (56.5 × 76.5 cm)",Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art's 75th Anniversary Acquisition Fund,230.2024.5,Drawing,Drawings & Prints,2024-06-06,Y,467165,https://www.moma.org/collection/works/467165,,,,,,56.5,,,76.5,,
155152,Indian with Feather from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed 1970; published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.7,Print,Drawings & Prints,2024-06-06,Y,471547,https://www.moma.org/collection/works/471547,https://www.moma.org/media/W1siZiIsIjU4MDk3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b6cc831d04c2d683,,,,,76.2001524003,,,55.8801117602,,
151915,Untitled no. 9,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2020,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 5/16 × 30 1/8"" (56.7 × 76.5 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.9,Drawing,Drawings & Prints,2024-06-06,Y,467163,https://www.moma.org/collection/works/467163,,,,,,56.7,,,76.5,,
155191,Out of the Web,Ann Leda Shapiro,137599,"(American, born 1946)",(American),(1946),(0),(female),1976,Watercolor on paper,"20 × 14"" (50.8 × 35.6 cm)",Gift of Jack Shear,238.2024,Drawing,Drawings & Prints,2024-06-06,Y,473023,https://www.moma.org/collection/works/473023,https://www.moma.org/media/W1siZiIsIjU4MDEzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8850fe0e049d24df,,,0.0,,50.8001016002,,,35.5600711201,,
155174,Hopeless Reparation 2 (leaving),Franz Ackermann,22669,"(German, born 1963)",(German),(1963),(0),(male),2001,"Acrylic, watercolor, and pencil on paper","19 1/4 × 25 5/8"" (48.9 × 65.1 cm)",Gift from the Collection of Patricia and Morris Orden,220.2024,Drawing,Drawings & Prints,2024-06-06,Y,472628,https://www.moma.org/collection/works/472628,https://www.moma.org/media/W1siZiIsIjU4MDExMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f1d1e2230f19301f,,,0.0,,48.8950977902,,,65.0876301753,,
151914,Untitled no. 4,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2017,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 7/16 × 30 1/8"" (57 × 76.5 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.4,Drawing,Drawings & Prints,2024-06-06,Y,467162,https://www.moma.org/collection/works/467162,,,,,,57.0,,,76.5,,
155177,Untitled,Valentine Hugo,2758,"(French, 1890–1968)",(French),(1890),(1968),(female),n.d.,Etching,"plate: 7 5/16 × 5 3/8"" (18.6 × 13.7 cm); sheet: 7 1/2 × 5 5/8"" (19.1 × 14.3 cm)",Lawrence Saphire Bequest,229.2024,Print,Drawings & Prints,2024-06-06,Y,472645,https://www.moma.org/collection/works/472645,,,,,,18.6,,,13.7,,
155178,Le misanthrope (Self-Portrait),André Masson,3821,"(French, 1896–1987)",(French),(1896),(1987),(male),1945,Etching with aquatint,"plate: 8 3/4 × 7"" (22.2 × 17.8 cm); sheet: 12 3/4 × 9 7/8"" (32.4 × 25.1 cm)",Lawrence Saphire Bequest,231.2024,Print,Drawings & Prints,2024-06-06,Y,472646,https://www.moma.org/collection/works/472646,,,,,,22.2,,,17.8,,
155189,"Untitled (""ooooh Jackie"")",Henry Taylor,41333,"(American, born 1958)",(American),(1958),(0),(male),2011,Acrylic on cardboard box with pasted sheet of notebook paper with red ink,"8 3/4 × 11 × 5"" (22.2 × 27.9 × 12.7 cm)",Gift of the Tilton Family Collection,242.2024,Sculpture,Drawings & Prints,2024-06-06,Y,472977,https://www.moma.org/collection/works/472977,https://www.moma.org/media/W1siZiIsIjU4MDEyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=917030851dd55561,,,12.7000254001,,22.2250444501,,,27.9400558801,,
155188,Untitled,Henry Taylor,41333,"(American, born 1958)",(American),(1958),(0),(male),2004,Acrylic on cardboard Corn Flakes box,"13 × 8 × 3 1/4"" (33 × 20.3 × 8.2 cm)",Gift of the Tilton Family Collection,243.2024,Sculpture,Drawings & Prints,2024-06-06,Y,472976,https://www.moma.org/collection/works/472976,https://www.moma.org/media/W1siZiIsIjU4MDEyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4d37c1698db28a7b,,,8.2,,33.0,,,20.3200406401,,
155186,Basin Street Run 2,Jason Moran,133285,"(American, born 1975)",(American),(1975),(0),(male),2016,Charcoal and ink on piano roll paper,"53 × 11 1/4"" (134.6 × 28.6 cm)",Gift of the Tilton Family Collection,234.2024,Drawing,Drawings & Prints,2024-06-06,Y,472973,https://www.moma.org/collection/works/472973,https://www.moma.org/media/W1siZiIsIjU4MDk3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=219dd07e2da958e9,,,0.0,,134.6202692405,,,28.5750571501,,
155185,Swing,Nicole Eisenman,19572,"(American, born France. 1965)",(American),(1965),(0),(female),2002,Ink and gouache on paper,"12 × 16"" (30.5 × 40.6 cm)",Gift of the Tilton Family Collection,225.2024,Drawing,Drawings & Prints,2024-06-06,Y,472972,https://www.moma.org/collection/works/472972,https://www.moma.org/media/W1siZiIsIjU4MDExNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=86c42f24dd0f6378,,,0.0,,30.4800609601,,,40.6400812802,,
155184,Death Playing Checkers,Nicole Eisenman,19572,"(American, born France. 1965)",(American),(1965),(0),(female),2002,Watercolor and ink on paper,"11 × 15 3/4"" (27.9 × 40 cm)",Gift of the Tilton Family Collection,223.2024,Drawing,Drawings & Prints,2024-06-06,Y,472971,https://www.moma.org/collection/works/472971,https://www.moma.org/media/W1siZiIsIjU4MDExNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0ab88f84d2ba1994,,,0.0,,27.9400558801,,,40.0050800102,,
155183,Baby with Blue Face,Marlene Dumas,7521,"(South African, born 1953)",(South African),(1953),(0),(female),1994,"Ink, crayon, and gouache on cut and stapled paper","sheet (irreg.): 11 × 5 11/16"" (27.9 × 14.5 cm)",Gift of the Tilton Family Collection in memory of Jack Tilton,222.2024,Drawing,Drawings & Prints,2024-06-06,Y,472969,https://www.moma.org/collection/works/472969,https://www.moma.org/media/W1siZiIsIjU4MDExMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bff679605cf7417b,,,0.0,,27.9400558801,,,14.5,,
155182,"Dataw Island, S.C.",Beverly Buchanan,137574,"(American, 1940 – 2015)",(American),(1940),(2015),(female),1993,Oil pastel on paper,"60 × 73 1/2"" (152.4 × 186.7 cm)",Gift of Agnes Gund,221.2024,Drawing,Drawings & Prints,2024-06-06,Y,472957,https://www.moma.org/collection/works/472957,,,,0.0,,152.4003048006,,,186.6903733807,,
155190,Untitled (Mute),Henry Taylor,41333,"(American, born 1958)",(American),(1958),(0),(male),2010,Acrylic and pencil on cardboard box,"13 1/2 × 7 7/8 × 5 1/2"" (34.3 × 20 × 14 cm)",Gift of the Tilton Family Collection,241.2024,Sculpture,Drawings & Prints,2024-06-06,Y,472978,https://www.moma.org/collection/works/472978,https://www.moma.org/media/W1siZiIsIjU4MDczMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=67b7c6fe7f96091b,,,14.0,,34.2900685801,,,20.0,,
155192,Untitled no. 13,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2023,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","38 1/4 × 50"" (97.2 × 127 cm)",Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art's 75th Anniversary Acquisition Fund,230.2024.13,Drawing,Drawings & Prints,2024-06-06,Y,473236,https://www.moma.org/collection/works/473236,,,,0.0,,97.1551943104,,,127.0002540005,,
155180,Untitled from the illustrated book Les animaux et leurs hommes: Les hommes et leurs animaux by Paul Éluard,Valentine Hugo,2758,"(French, 1890–1968)",(French),(1890),(1968),(female),1937,Etching,"plate: 9 1/4 × 5 7/8"" (23.5 × 14.9 cm); sheet: 13 × 9 7/8"" (33 × 25.1 cm)",Lawrence Saphire Bequest,227.2024,Print,Drawings & Prints,2024-06-06,Y,472648,https://www.moma.org/collection/works/472648,,,,,,23.5,,,14.9,,
143254,Cosmovisión Huitoto,Santiago Yahuarcani,133962,"(Peruvian and Huitoto, born 1960)",(Peruvian),(1960),(0),(male),2022,PVA on pieced llanchama bark,"overall (irreg.): 84 1/2 × 160 1/2"" (214.6 × 407.7 cm)",Acquired through the generosity of the Latin American and Caribbean Fund and Colección Hochschild Correa,248.2024,Drawing,Drawings & Prints,2024-06-06,Y,449208,https://www.moma.org/collection/works/449208,,,,0.0,,214.6304292609,,,407.6708153416,,
153780,Cloud-Plotting on Coenties Slip,Fred Mitchell,137338,"(American, 1923 – 2013)",(American),(1923),(2013),(male),1961,Watercolor on printed paper,"15 × 17 1/2"" (38.1 × 44.5 cm)",Gift of Jack Shear,233.2024,Drawing,Drawings & Prints,2024-06-06,Y,469893,https://www.moma.org/collection/works/469893,https://www.moma.org/media/W1siZiIsIjU4MDEwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8d20a19a4d21268a,,,0.0,,38.1000762002,,,44.4500889002,,
155179,Untitled from the portfolio Alternance (Alternation),Valentine Hugo,2758,"(French, 1890–1968)",(French),(1890),(1968),(female),1946,Etching,"plate: 9 × 7"" (22.9 × 17.8 cm); sheet: 12 7/8 × 9 7/8"" (32.7 × 25.1 cm)",Lawrence Saphire Bequest,228.2024,Print,Drawings & Prints,2024-06-06,Y,472647,https://www.moma.org/collection/works/472647,,,,,,22.9,,,17.8,,
153781,Coenties Opens Out to Sea!,Fred Mitchell,137338,"(American, 1923 – 2013)",(American),(1923),(2013),(male),c. 1956-59,Ink on paper,"11 × 8 1/2"" (27.9 × 21.6 cm)",Gift of Jack Shear,232.2024,Drawing,Drawings & Prints,2024-06-06,Y,469894,https://www.moma.org/collection/works/469894,https://www.moma.org/media/W1siZiIsIjU4MDExMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e915b9171552ca4f,,,0.0,,27.9400558801,,,21.5900431801,,
153782,Maria,Rose B. Simpson,137340,"(Santa Clara Pueblo, New Mexico, born 1983)",(American),(1983),(0),(female),2021,Lithograph on two sheets,"sheet (each): 18 × 46"" (45.7 × 116.8 cm)
overall (both sheets together): 36 × 46"" (91.4 × 116.8 cm)",Deborah Wye Endowment Fund,239.2024.a-b,Print,Drawings & Prints,2024-06-06,Y,469895,https://www.moma.org/collection/works/469895,,,,,,45.7200914402,,,116.8402336805,,
153783,Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed 1970-71; published 1971,Portfolio of eight lithographs,"sheet (each): 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.1-8,Print,Drawings & Prints,2024-06-06,Y,469897,https://www.moma.org/collection/works/469897,,,,,,76.2001524003,,,55.8801117602,,
155935,Hole Theory: Parts Four & Five,Pope.L,37145,"(American, 1955–2023)",(American),(1955),(2023),(male),2002-2010/2013,Printed and spiral bound book with artist interventions,"overall: 5 1/2 × 4 1/4 × 1/2"" (14 × 10.8 × 1.3 cm); sheet (each): 5 1/2 × 4"" (14 × 10.1 cm)",Gift of Desmond Tarkowski-Pope L.,236.2024,Illustrated Book,Drawings & Prints,2024-06-06,Y,475062,https://www.moma.org/collection/works/475062,,,,1.27000254,,13.9700279401,,,10.79502159,,
143255,Os três ou quatro estados (The Three or Four States),Ismael Nery,136323,"(Brazilian, 1900 – 1934)",(Brazilian),(1900),(1934),(),1927,Gouache on paper,"9 1/16 × 6 5/16"" (23 × 16 cm)",Latin American and Caribbean Fund,235.2024,Drawing,Drawings & Prints,2024-06-06,Y,449210,https://www.moma.org/collection/works/449210,,,,0.0,,23.0,,,16.0,,
155155,My August,Joan Snyder,5501,"(American, born 1940)",(American),(1940),(0),(female),2023,"Oil, acrylic, paper mache, straw, flower stems, rosebuds, ink, paper on linen",,Gift of Agnes Gund in honor of Anne Umland,211.2024,Painting,Painting & Sculpture,2024-06-03,N,471796,,,,,0.0,,132.0802641605,,,182.8803657607,,
